id,File Name,Transcription,Context
0,fragment_1.mov,"Hi, how's it going? Hi, Lina. Nice to meet you guys. Nice to meet you. What's the company? It's Proctor & Gamble. So we're the world's largest CBG company. So we hire, we have 100,000 employees globally. We hire for a lot of tech roles, software dev, data engineer, data science, machine learning, all that stuff.",a group of people standing around a table
1,fragment_2.mov,"So I'm a data engineer. No, that's so sick. And you got to hiring for summer 2024? Yeah, so you can scan our little career thing and it will take you to the internships page. So we hire for internships for May and January star dates as well as New Grad. Perfect. And could I take one? Yeah, I'd take a bunch.",a girl standing in front of a sign that says dry day
2,fragment_3.mov,"So the current error is... I'm trying to reverse engineer this. So the current error, or the thing you would call it, is... With frames, our intervals are not going properly, and so we need to figure out how to get those intervals between the videos.",a laptop computer sitting on a desk with a monitor
3,fragment_4.mov,"to get those frames once we get that exact frame. I'm just testing it by doing some stuff and trying it again. It should print out an explanation at that exact time. So I'm going to print your text, wait for it. I'm using low GP.",a laptop computer
4,fragment_5.mov,"because I don't want to be exhausted. What's going on? You kind of see what I'm wearing right now through the light again, but you can see that it is generating the right text. So it is generating a person walking down and saying good night.",a laptop computer
5,fragment_6.mov,"That is the video from yesterday when we were testing it out. So now within this text we want to take the first. With our generated text. Okay, so we now want to take text.",a laptop on a table
6,fragment_7.mov,Like. Okay. And we're going to change our text. And now we're going to change this. We're going to try again.,a laptop computer
7,fragment_8.mov,And at that point we built a system. So it is now. So that means is text not an array? It is not UO. I am right. It is not an array. Okay. I don't know where the error is.,a laptop computer
8,fragment_9.mov,"Oh my god, I love singing at Hack the Lord. My favorite event, singing. Singing is my favorite activity in the world. I love singing. Sing!",a man in a black shirt and glasses standing in front of a white tent
9,fragment_10.mov,"How's it going? Honestly, we're here at Bloomberg Engineering. We are. I left my camera, otherwise I'll be the one recording. This guy's a very cool guy. This guy's also a very cool guy. Bloomberg apparently has the ability to act as a Craigslist. So people can list Rolexes on this terminal and sell them.",a man standing in front of a table with a laptop
10,fragment_11.mov,"Okay, then. Okay. Where's the party going? Where's the party going? Back to you. Okay. Great. It's gonna be fun. You're fine? Okay. Wait for you. We all live, and it's great to be here.",a man holding an umbrella
11,fragment_12.mov,"Hey, are you excited for a little water food? Do you want a little water food? Do you want a little water food? Do you? I'll read over your AIF, bro. I'll read over your AIF. This guy is a college counselor. Yes, yeah.",a man is standing in front of a crowd
12,fragment_13.mov,"It's set out in my mouth, it was all literally in the front of my mouth, not like my whole mouth. And now I'm like on fire, my mouth's on fire. I'm just basically just like, What is this? It's not what you're doing, it's okay. Alright. What are you doing, bro? One finger.",a woman in a white coat talking on a cell
13,fragment_14.mov,"We're gonna go... Let's see the elevator. Whoa, look, that's a trash can.",a large room with a long table and chairs
14,fragment_15.mov,"I'm so excited to go back and start working on our project again. Gee, Liz, that was a fulfilling game. What is our project name again? Deja Vu. I like Deja Vu. Hey, Rajen. What is the last name?","a man standing outside of a building with a sign that says,'we are open '"
15,fragment_16.mov,"Yeah, thank you. Hello. I really love playing with those dogs. They were really cute and adorable. My favorite one was Rosie the Golden. Sponsors. Sponsors. Sponsor. Sponsors. Sponsors.",a red staircase with a metal handrail
16,fragment_17.mov,They're playing a Taylor Swift song. Hack the Morph is playing a Taylor Swift song. I don't like Taylor Swift that much. I like Hot Game More. How does Taylor Swift make you feel?,a group of people standing in a tent
17,fragment_18.mov,"So right now we're fixing some bugs. The recurrent bug is interested in video analysis. The frames aren't working properly, so right now we're trying to break it up into individual smaller intervals, analyze those specific frames. And we're going to see how that works.",a person is sitting at a desk with a laptop
18,fragment_19.mov,"Let's see what's happening up here. Okay. Uh, there is warnings. That's fine. We already said our max length. But we didn't define that variable. So, let's...",a laptop computer
19,fragment_20.mov,I'm going to try and make this run so we can try again. It's creating a generic object.,a man sitting at a desk with a laptop
20,fragment_21.mov,"I saw the people who gave you. How secret are you? Do you know how to draw? Of course. I am drawing right now. Damn, the clothes drawing really sucks.",a person is walking through a room with chairs
21,fragment_22.mov,"Why is it time for some brainstorming? Okay. You guys ready for some brainstorming? Yeah. Brainstorming? I thought we already almost finished our product. Yeah, you're right. Okay. I gotta figure out something with embeddings. Thanks, Nicole. I appreciate the part, too. Oh, because we already figured that out and that's why, isn't it? Feels right in here. Okay.",a man with a tie around his neck
22,fragment_23.mov,"Time to restart our runtime. Hey, what stickers do you have on your laptop? I have a golf sticker that I got in New York City. I have a Y Combinator sticker that I got from San Francisco. I have this sticker right here from Hack the North.",a person is holding a pen and writing on a computer
23,fragment_24.mov,The best hackathon in all of Canada. I also have this sticker from Jane Street. I really hope Jane Street hires me. Jane Street is my favorite company. Those are nice stickers. Let's see what stickers I have. I got... What even do I have? Caulk or a string?,a man is holding a book with stickers on it
24,fragment_25.mov,"HTV, Figma, Ripplet, Pac Club, Waterloo, represent XGS for sale, rgsp, Deka, should we have stickers here? Yeah I have some stickers, I have oh yeah here are my stickers, so I have two from",a book with stickers on it
25,fragment_26.mov,"and I have a hackathon sticker here too. This one's also from a hackathon and so is this one, and so is this one, and so is this one, and so is this one, and so is this one. But also this is from the University of Waterloo Mathematics Society.",a person holding a white laptop with stickers on it
26,fragment_27.mov,"Hey guys, how's it going? Hi, how are you? Good, how's your day going? Good, good. What program are you guys in? I'm in accounting, high school today. Oh really, what grade? Are you going to come to Waterloo? I'm planning to come to U of T Waterloo, McMaster for computer science and business. Okay, no that's sick.",a woman in a black shirt and white jeans
